"";"genotype";"N_change";"Fe_change";"Mg_change";"Mn_change";"Na_change";"Zn_change";"C_change";"Cu_change";"cluster"
"76";"1_141";4,41;2,8;-2;18,5;7,48;4,18;1,49;-3,47;"1"
"77";"1_143";-13,62;-25,39;0,77;6,73;-18,04;-25,84;3,46;-15,45;"1"
"79";"6_2";-5,77;-2,37;13,69;33,34;1,49;8,53;-1,83;9,18;"1"
"80";"6_3";-4,95;13,38;-8,46;-26,66;7,81;-9,52;-0,39;-4,11;"1"
"81";"6_4";-12,69;-18,45;-7,18;55,35;-3,4;-7,96;-0,5;-17,79;"2"
"82";"6_5";-2,42;-4,75;0,83;53,79;-1,22;7,01;2,08;10,52;"2"
"83";"6_6";-4,22;-0,69;4,12;33,4;-5,38;-6,4;-3,76;-4,47;"1"
"86";"6_9";-10,48;-12,35;-3,96;-28,35;-3,66;-7,36;-3,3;-26,8;"2"
"87";"6_10";-7,54;5,65;0,98;-11,01;12,56;-4,46;-1,55;-9,42;"2"
"90";"6_13";-20,83;3,31;-5,9;-3,96;4,23;-7,06;0,53;-2,73;"1"
"91";"6_14";-13,07;-13,49;-4,87;29,92;-1,31;-23,95;-1,26;9,04;"1"
"92";"6_15";-11,78;27,81;-3,23;27,7;1,49;3,45;-4,04;11,93;"1"
"93";"6_16";0,17;19,92;0,51;22,78;6,4;-4,66;-8,32;27,81;"2"
"94";"6_17";-2,12;35,21;0,38;23,8;12,06;8,18;1,09;44,69;"2"
"95";"6_18";-6,54;20,44;10,54;52,49;7,52;-11,44;5,86;24,33;"3"
"96";"6_19";-5,6;0,09;-10,18;23,24;8,95;15,12;9,46;14,48;"1"
"97";"6_20";-0,48;15,37;-17,83;9,24;-8,89;50,26;0,39;33,85;"2"
"98";"6_21";-14,09;-22,73;-7,22;11,76;-12,44;-19,67;1,6;-10,31;"2"
"100";"6_23";-17,63;-40,78;-11,74;25,4;-8,38;6,62;1,31;-9,73;"2"
"101";"6_24";-14,52;6,37;6,67;78,38;-6,08;0,13;2,43;21,67;"2"
"102";"6_25";-13,78;-21,94;4,29;48,32;-11,45;-1,66;3,66;13,69;"2"
"103";"6_26";-8,97;20,78;12,54;79,15;5,59;24,44;-2,87;52,27;"1"
"108";"6_31";-7,08;-8,68;-23,92;32,76;-9,55;-12,67;-6,02;-17,9;"2"
"126";"6_49";-11,33;-20,47;-29,92;-6,48;6,74;-21,76;4,82;-20,32;"1"
"127";"6_50";-9,5;-15,49;-17,93;60,25;27,26;-17,32;-1,58;38,11;"2"
"128";"6_51";-9,97;-15,38;-12,71;55,31;7,53;-0,88;0,1;21,36;"1"
"129";"6_52";-4,27;-10,18;-7,62;18,92;7,05;-23,22;-5,3;-15,55;"1"
"130";"6_53";-5,56;23,76;-7,12;27,44;-17,49;-3,15;-3,75;-3,95;"2"
"132";"6_55";-9,01;11,41;-15,7;25,84;8,08;-5,18;1,83;-5,77;"2"
"133";"6_56";-14,12;-35,86;-26,15;-17,62;4,33;-22,81;0,26;-30,16;"1"
"134";"6_57";-17,15;15,32;-16,56;4,01;2,4;-13,49;-2,99;-16,23;"2"
"135";"6_58";-15,85;-17,64;-10,55;28,85;14,16;-17,51;-5,25;-8,38;"2"
