genotype;Cu_eCo2;Cu_aCo2;Fe_eCo2;Fe_aCo2;Mg_eCo2;Mg_aCo2;Mn_eCo2;Mn_aCo2;Na_eCo2;Na_aCo2;Zn_eCo2;Zn_aCo2;C_eCo2;C_aCo2;N_eCo2;N_aCo2;N_change;aCN_ratio;eCN_ratio;eCN_aCN;Fe_change;Mg_change;Mn_change;Na_change;Zn_change
NOZ-12;6.11;6.43;76.53;80.68;3813.12;3724.3;59.24;56.41;2507.01;2296.98;44.06;1893.56;36.31;36.56;6.92;7.61;;;;;;;;;
NOZ-13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;;;;;;;;
NOZ-15;5.95;6;72.68;92.16;3775.26;3599.75;53.83;67.22;2564.22;1486.8;45.4;859.38;36.12;34.01;7.11;7.33;;;;;;;;;
NOZ-16;5.41;7.28;70.62;104.53;3739.67;3873.68;57.91;64.84;2345.59;1831.98;41.9;1773.09;36.49;35.42;6.68;7.32;;;;;;;;;
NOZ-17;5.66;5.66;70.56;88.76;3425.27;3430.46;55.69;68.81;2150.97;1673.68;45.31;823.29;33.95;35.32;6.73;7.37;;;;;;;;;
NOZ-18;5.92;7.69;75.1;88.89;3625.99;3898.51;60.08;64.11;2258.48;2290.73;43.92;2296.71;35.63;35.22;7.11;7.43;;;;;;;;;
NOZ-2;5;6.56;71.86;90.58;3428.07;3362.29;65.2;79.03;811.63;850.42;46.4;743.56;35.63;36.07;6.67;7.2;;;;;;;;;
NOZ-21;5.39;5.58;74.53;80.19;3258.51;3351.52;59.76;69.03;1675.66;1439.37;48.98;712.58;35.36;36.72;6.29;7.03;;;;;;;;;
NOZ-23;5.65;.;77.34;.;3612.31;.;49.11;.;2436.99;.;42.34;.;35.98;36.4;7.14;7.48;;;;;;;;;
NOZ-26;6.3;6.5;75.56;88.7;3709.3;3580.57;63.93;75.44;2414.18;1651.25;45.29;733.02;35.24;35.43;7.08;7.45;;;;;;;;;
NOZ-27;5.94;10.11;81.33;83.19;3707.91;3770.87;54.83;70.36;2389.69;1875.72;49.35;1057.79;35.19;36.14;6.78;7.46;;;;;;;;;
NOZ-3;4.79;5.7;75.67;89.98;3430.44;3288.98;64.83;80.61;764.01;817.51;52.32;573.23;36.45;35.94;6.98;6.97;;;;;;;;;
NOZ-4;5.27;6.07;80.06;96.88;3387.93;3185.62;60.64;88.62;1002.43;1006.92;45.54;679.37;35.48;36.37;6.9;7.31;;;;;;;;;
NOZ-5;6.36;10.12;75.91;96.69;3695.05;3976.68;62.27;65.75;2453.07;2354.42;44.09;43.73;35.48;34.85;7.15;7.26;;;;;;;;;
NOZ-6;4.79;6.48;70.06;96.4;3483.08;4134.91;57.28;65.08;2430.54;2533.65;39.48;49.68;36.83;34.78;7.19;7.13;;;;;;;;;
NOZ-9;5.66;.;83.5;.;3771.45;.;55.9;.;2253.67;.;50.24;.;34.17;35.55;7.07;7.26;;;;;;;;;
PCH-6;5.45;6.9;69.48;92.27;4260.03;4785.13;64.98;63.74;1104.85;1198.12;60.23;68.11;35.06;35.55;7.16;7.72;;;;;;;;;
PCH-10;5.52;6.05;78.44;89.15;4222.35;4753.82;65.97;68.99;2417.5;2868.38;52.05;51.07;34.83;34.91;7.57;7.59;;;;;;;;;
PCH-12;5.63;5.73;69.19;87.31;3973.15;4701.31;56.12;70.38;919.98;1043.22;52.06;75.39;35.12;35.43;6.78;7.74;;;;;;;;;
PCH-13;9.64;6.05;71.8;99.56;4174.34;4798.19;54.55;64.78;911.34;1124.18;52.52;64.78;37.29;36.18;6.84;7.45;;;;;;;;;
PCH-14;5.67;5.22;74.98;95.24;4133.24;5076.78;57.96;67.9;897.53;1068.26;57.71;60.53;35.65;35.7;7.42;7.55;;;;;;;;;
PCH-15;6.16;6.45;67.97;85.8;4532.62;4763.4;67.5;61.5;848.31;1270.95;49.73;63.24;35.74;35.1;6.65;7.6;;;;;;;;;
PCH-21;5.45;5.43;73.26;85.06;4063.29;4743.5;61.93;65.92;1067.34;1055.98;55.82;61.67;36.45;34.69;6.97;7.81;;;;;;;;;
PCH-30;4.76;.;76.73;.;4342.7;.;63.69;.;1033.64;.;57.17;.;35.62;34.67;7.3;7.67;;;;;;;;;
PCH-8;5.45;6.94;77.38;90.49;4142.82;4985.28;61.9;67.58;896.75;1333.45;60.6;71.28;35.99;35.03;7.08;7.62;;;;;;;;;
QUI-2;5.37;5.78;71.32;112.36;2971.75;3693.05;54.96;72.46;1138.19;1038.32;55.69;63.27;36.38;36.17;6.73;6.89;;;;;;;;;
QUI-10;4.79;5.86;73.71;112.41;2970.67;3654.78;65.57;62.96;1206.41;1368.82;53.61;73.41;37.78;35.88;6.81;6.92;;;;;;;;;
QUI-13;5.2;5.47;75.05;86.2;3118.51;3268.17;58.45;68.96;1047.18;1143.85;62.17;49.53;36.84;35.71;6.89;7.22;;;;;;;;;
QUI-15;4.96;5.22;71.54;106.41;2952.66;3170.1;58.09;84.5;1274.09;1161.11;55.02;61.55;36.84;34.65;6.53;7.43;;;;;;;;;
QUI-17;5.79;5.16;72.31;86.16;3200.54;3185.44;57.95;71.47;1216.67;1108.93;56.94;54;36.48;35.73;6.66;7.02;;;;;;;;;
QUI-18;7.07;5.39;73.77;95.98;3111.82;3208.33;65.48;78.24;991.53;1054.55;55.78;65.26;37.13;34.93;6.8;7.1;;;;;;;;;
QUI-20;6.7;5.6;72.82;85.27;3043.89;3100.02;60.53;68.94;1215.82;1059.97;59.19;44.09;36.1;34.66;6.52;7.15;;;;;;;;;
QUI-22;5.55;4.67;73.67;90.65;3067.83;3211.82;60.58;69.31;1048.2;1035.58;54.81;72.16;36.62;34.62;6.52;6.81;;;;;;;;;
QUI-24;5.88;6.66;78.53;106.25;3015.46;3941.33;65.36;76.3;1236.65;1154.18;53.13;75.53;36.68;34.92;6.83;7.16;;;;;;;;;
QUI-25;6.54;4.72;76.97;99.33;3281.3;3147.89;63.41;63.83;991.87;1008.62;64.62;63.38;37.07;36.01;6.81;7.1;;;;;;;;;
QUI-26;5.48;5.86;76.71;102.74;3213.49;3501.77;60.27;66.38;1118.49;1170.92;50.98;70.04;36.63;35.83;6.69;7.29;;;;;;;;;
QUI-28;6.32;4.5;75.4;100.64;3200.32;3426;58.92;68.13;1095.37;1159.29;68.63;54.64;35.61;35.62;6.29;7.1;;;;;;;;;
QUI-29;5.5;4.85;71.27;100.48;2874.22;3538.36;51.26;65.19;1144.54;1194.99;64.27;66.54;37.51;35.75;6.89;7.2;;;;;;;;;
QUI-3;6.07;5.86;72.83;98.64;3100.71;3329.79;64.04;69.36;1041.8;1069.39;55.67;68.65;36.78;35.16;6.58;7.21;;;;;;;;;
QUI-4;6.64;5.42;70.95;92.58;3156.53;3414.28;59.08;70.67;1109.05;1205.08;56.24;57.8;36.36;35.17;6.58;7.02;;;;;;;;;
QUI-5;8.03;7.06;78.9;99.04;4039.62;5017.6;65.91;79.33;958.41;1124.7;55.52;59.37;35.716;34.93;7.003;7.32;;;;;;;;;
QUI-6;5.05;6.29;77.87;100.62;3088.81;3581.51;62.25;73.77;1092.92;1175.21;57.66;74.74;36.282;50.15;6.625;9.38;;;;;;;;;
QUI-7;5.8;.;75.8;.;2901.87;.;58.65;.;982.44;.;51.23;.;37.305;35.96;6.478;6.95;;;;;;;;;
QUI-8;5.9;.;75.1;.;3228.42;.;64.95;.;1267.28;.;65.89;.;37.094;36.06;6.553;7.22;;;;;;;;;
QUI-9;4.56;5.66;71.97;102.16;2993.08;3447.81;51.58;76.94;1331.49;1165.4;54.46;98.3;37.043;34.65;6.268;7.18;;;;;;;;;
SAL-1;5.45;6.18;71.12;98.36;2680.01;3550.96;53.71;75.13;1074.52;1158.11;58.32;75.87;37.233;36.87;6.916;6.78;;;;;;;;;
SAL-10;5.64;6.25;83.41;94.51;2942.7;3426.67;56.43;63.83;1140.53;1019.12;74.09;77.27;35.342;36.5;6.868;7.11;;;;;;;;;
SAL-11;6.01;5.24;82.92;93.07;2928.41;3653.18;62.25;64.27;1109.21;932.34;72.1;66.41;36.244;36.67;7.38;7.22;;;;;;;;;
SAL-12;6.31;5.91;77.72;92.31;2956.45;3488.49;54.65;61.25;1376.34;1133.3;66.79;70;37.68;36.05;7.235;7.18;;;;;;;;;
SAL-15;5.83;5.99;80.67;100.19;2965.48;3665.82;57.08;69.33;1098.93;1007.89;59.61;79;36.24;36.55;6.949;7.45;;;;;;;;;
